ClientTotalTime_count,ClientTotalTime_mean,ClientTotalTime_max,ClientTotalTime_min,ClientTotalTime_median,ClientTotalTime_var,thread,action,record_count
486.0,17987.87242798354,25861.0,7913.0,19399.5,21215551.154825844,500,create_user_profile,1458
494.0,19667.135627530366,27377.0,5172.0,19468.0,9977863.979539463,500,create_file_object,1482
266.0,29892.1992481203,34730.0,22292.0,30630.0,8730004.635622075,500,create_organization,1330
89.0,18145.20224719101,19668.0,15807.0,18127.0,854556.731358529,500,create_team,368
406.0,39395.97536945813,44894.0,28545.0,40021.0,16140277.17470048,500,create_task,2442
468.0,110080.77136752137,156685.0,6869.0,112423.0,719716165.3673153,1000,create_user_profile,1404
417.0,70227.43405275779,91248.0,6077.0,69759.0,200633399.60681838,1000,create_file_object,1254
258.0,84639.22868217055,109294.0,59622.0,83409.5,224171222.17707297,1000,create_organization,1290
123.0,71465.17073170732,93732.0,31943.0,77006.0,227036812.10995603,1000,create_team,496
116.0,81857.89655172414,92734.0,52503.0,82800.5,52204142.30224889,1000,create_task,702
333.0,11162.945945945947,16230.0,5204.0,11391.0,11084120.213936828,300,create_user_profile,999
322.0,11393.574534161491,16331.0,4161.0,11271.0,2739429.4975426174,300,create_file_object,966
86.0,18717.70930232558,21298.0,16281.0,18620.0,2425989.4792065667,300,create_organization,435
219.0,17273.954337899544,20408.0,11464.0,18087.0,5039916.9520338485,300,create_team,880
233.0,24175.20600858369,26950.0,19040.0,24426.0,2432696.267722362,300,create_task,1398
498.0,6823.273092369478,9775.0,3560.0,6837.5,1683699.229093436,100,create_user_profile,1494
483.0,5757.884057971014,7956.0,2419.0,5731.0,830038.9782308016,100,create_file_object,1449
472.0,10955.809322033898,13200.0,7461.0,10979.0,1315129.9635647198,100,create_organization,2360
528.0,8130.251893939394,11280.0,5109.0,8005.5,1497457.8168844515,100,create_team,2112
547.0,12963.751371115173,15800.0,9472.0,13108.0,1894368.7036382265,100,create_task,3294
71.0,3347.394366197183,4221.0,2831.0,3273.0,120075.69939637829,10,create_user_profile,213
60.0,2204.483333333333,3313.0,1680.0,2142.0,196685.88107344633,10,create_file_object,180
56.0,4810.696428571428,6701.0,3679.0,4649.0,699427.887987013,10,create_organization,285
50.0,3724.54,5186.0,2793.0,3599.0,515253.967755102,10,create_team,200
50.0,5965.24,6683.0,5306.0,5924.0,162038.3493877551,10,create_task,300
94.0,3098.563829787234,5184.0,2249.0,2911.0,418756.2270647449,1,create_user_profile,282
94.0,2051.095744680851,3677.0,1525.0,1836.0,217681.95847632128,1,create_file_object,282
79.0,4137.683544303797,5751.0,3156.0,4078.0,234811.6549821486,1,create_organization,395
64.0,3148.3125,4306.0,2004.0,3121.0,186955.80555555556,1,create_team,256
60.0,5027.516666666666,7055.0,3108.0,4919.5,1042554.7624293787,1,create_task,360
