SeverTotalTime_count,SeverTotalTime_mean,SeverTotalTime_max,SeverTotalTime_min,SeverTotalTime_median,SeverTotalTime_var,thread,action,record_count
486.0,13707.788916403293,20472.622763,4329.69301,15352.7135045,20427416.028835107,500,create_user_profile,1458
494.0,10177.973942133602,12998.65286,3011.6851429999997,10031.63976,2529737.1560411714,500,create_file_object,1482
266.0,27812.737455665414,33610.787283,15409.20875,29899.6234375,24095317.020975403,500,create_organization,1330
89.0,11020.872898584268,12169.114042000001,9331.112454,10832.383593999999,733554.6936463668,500,create_team,368
406.0,28498.182836091135,31687.301069,18274.776584000003,29981.7079475,10197618.362595413,500,create_task,2442
468.0,30165.29971021795,46229.013928,6403.3385960000005,31786.8418695,99982065.19488949,1000,create_user_profile,1404
417.0,25126.692902805757,30591.479877,4459.205715,25237.853825,13032864.20124802,1000,create_file_object,1254
258.0,49878.42099279069,61088.58856,33390.845406,49623.0018745,64279010.32246212,1000,create_organization,1290
123.0,22594.6688323496,28096.979954,17216.833754,22768.884097000002,8551702.329041526,1000,create_team,496
116.0,42820.22097987931,45492.92108,30486.334319,42655.8454065,3428653.1626266097,1000,create_task,702
333.0,8420.922485294293,12176.532938999999,3372.850155,8925.613437999998,6566713.977249559,300,create_user_profile,999
322.0,6614.596338813664,10060.980710999998,3062.279732,6098.022833499999,2551747.927545461,300,create_file_object,966
86.0,17507.09074940698,20585.380220000003,13112.884349,17491.999222,4010755.519390607,300,create_organization,435
219.0,16517.373039534246,19609.595549,10101.109069,17365.849298,6364967.375904652,300,create_team,880
233.0,20075.324716004292,21694.694459000002,14273.917174999999,20492.021324999998,1735762.828664631,300,create_task,1398
498.0,6425.005122995984,9038.011361,2843.707339,6566.2574635,1953178.9445389442,100,create_user_profile,1494
483.0,5966.07529315321,8212.928355,2606.8763320000003,5923.747060000001,1047235.6674277525,100,create_file_object,1449
472.0,10366.653644290254,12596.868853,6931.859247,10365.673573,1345771.1395771806,100,create_organization,2360
528.0,7879.487659973485,10634.711998,5144.457546,7746.527506,1369186.7494588827,100,create_team,2112
547.0,12474.828084941499,15156.61347,8651.720037000001,12561.284251,1831199.6235784912,100,create_task,3294
71.0,2829.765970056338,3355.30391,2329.782434,2771.546472,77820.84682795683,10,create_user_profile,213
60.0,1720.5917531166667,3020.225931,1268.595935,1525.5832955,237629.7353129343,10,create_file_object,180
56.0,4279.6117115,5819.743703,3312.479607,4239.0956925,509582.3218542424,10,create_organization,285
50.0,3290.7288735400007,4456.57996,2434.603387,3194.543178,416839.8644055105,10,create_team,200
50.0,5609.118383159999,6441.6437430000005,4953.852507,5534.6768864999995,191389.982663783,10,create_task,300
94.0,2609.444110234043,4294.670166000001,1869.222652,2482.80745,295564.699994716,1,create_user_profile,282
94.0,1603.3811937978726,2940.817063,1083.1527919999999,1516.4870179999998,103968.43732969445,1,create_file_object,282
79.0,3737.5487056455695,5402.431304000001,2849.414119,3688.215012,246977.10469718545,1,create_organization,395
64.0,2703.98834946875,3740.741143,1604.142207,2742.3389625,155321.33848096945,1,create_team,256
60.0,4649.296116516666,6386.086254000001,2803.840887,4692.4091295,938538.1247629339,1,create_task,360
